PVM: 23.03.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 24.03.2011   PÄÄTÖSKURSSI: 20,00

PVM: 25.03.2011   PÄÄTÖSKURSSI: 19,85

PVM: 28.03.2011   PÄÄTÖSKURSSI: 19,98

PVM: 29.03.2011   PÄÄTÖSKURSSI: 19,90

PVM: 30.03.2011   PÄÄTÖSKURSSI: 20,00

PVM: 31.03.2011   PÄÄTÖSKURSSI: 20,00

PVM: 01.04.2011   PÄÄTÖSKURSSI: 20,00

PVM: 04.04.2011   PÄÄTÖSKURSSI: 20,00

PVM: 05.04.2011   PÄÄTÖSKURSSI: 20,20

PVM: 06.04.2011   PÄÄTÖSKURSSI: 20,43

PVM: 07.04.2011   PÄÄTÖSKURSSI: 20,10

PVM: 08.04.2011   PÄÄTÖSKURSSI: 20,50

PVM: 11.04.2011   PÄÄTÖSKURSSI: 20,65

PVM: 12.04.2011   PÄÄTÖSKURSSI: 20,00

PVM: 13.04.2011   PÄÄTÖSKURSSI: 20,00

PVM: 14.04.2011   PÄÄTÖSKURSSI: 19,95

PVM: 15.04.2011   PÄÄTÖSKURSSI: 20,10

PVM: 18.04.2011   PÄÄTÖSKURSSI: 20,45

PVM: 19.04.2011   PÄÄTÖSKURSSI: 20,41

PVM: 20.04.2011   PÄÄTÖSKURSSI: 20,35

PVM: 21.04.2011   PÄÄTÖSKURSSI: 20,00

PVM: 26.04.2011   PÄÄTÖSKURSSI: 20,39

PVM: 27.04.2011   PÄÄTÖSKURSSI: 20,14

PVM: 28.04.2011   PÄÄTÖSKURSSI: 20,21

PVM: 29.04.2011   PÄÄTÖSKURSSI: 20,39

PVM: 02.05.2011   PÄÄTÖSKURSSI: 20,20

PVM: 03.05.2011   PÄÄTÖSKURSSI: 20,00

PVM: 04.05.2011   PÄÄTÖSKURSSI: 19,41

PVM: 05.05.2011   PÄÄTÖSKURSSI: 18,80

PVM: 06.05.2011   PÄÄTÖSKURSSI: 18,70

PVM: 09.05.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 10.05.2011   PÄÄTÖSKURSSI: 18,61

PVM: 11.05.2011   PÄÄTÖSKURSSI: 19,47

PVM: 12.05.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 13.05.2011   PÄÄTÖSKURSSI: 18,80

PVM: 16.05.2011   PÄÄTÖSKURSSI: 18,80

PVM: 17.05.2011   PÄÄTÖSKURSSI: 18,80

PVM: 18.05.2011   PÄÄTÖSKURSSI: 18,80

PVM: 19.05.2011   PÄÄTÖSKURSSI: 18,80

PVM: 20.05.2011   PÄÄTÖSKURSSI: 18,70

PVM: 23.05.2011   PÄÄTÖSKURSSI: 18,70

PVM: 24.05.2011   PÄÄTÖSKURSSI: 18,60

PVM: 25.05.2011   PÄÄTÖSKURSSI: 18,50

PVM: 26.05.2011   PÄÄTÖSKURSSI: 18,20

PVM: 27.05.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 30.05.2011   PÄÄTÖSKURSSI: 18,50

PVM: 31.05.2011   PÄÄTÖSKURSSI: 18,03

PVM: 01.06.2011   PÄÄTÖSKURSSI: 18,03

PVM: 03.06.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 06.06.2011   PÄÄTÖSKURSSI: 17,99

PVM: 07.06.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 08.06.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 09.06.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 10.06.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 13.06.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 14.06.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 15.06.2011   PÄÄTÖSKURSSI: 18,00

PVM: 16.06.2011   PÄÄTÖSKURSSI: 18,00

PVM: 17.06.2011   PÄÄTÖSKURSSI: 18,00

PVM: 20.06.2011   PÄÄTÖSKURSSI: 18,00

PVM: 21.06.2011   PÄÄTÖSKURSSI: 18,00

PVM: 22.06.2011   PÄÄTÖSKURSSI: 17,80

PVM: 23.06.2011   PÄÄTÖSKURSSI: 17,80

PVM: 27.06.2011   PÄÄTÖSKURSSI: 17,93

PVM: 28.06.2011   PÄÄTÖSKURSSI: 17,94

PVM: 29.06.2011   PÄÄTÖSKURSSI: 18,00

PVM: 30.06.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 01.07.2011   PÄÄTÖSKURSSI: 18,00

PVM: 04.07.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 05.07.2011   PÄÄTÖSKURSSI: 17,99

PVM: 06.07.2011   PÄÄTÖSKURSSI: 18,00

PVM: 07.07.2011   PÄÄTÖSKURSSI: 17,96

PVM: 08.07.2011   PÄÄTÖSKURSSI: 17,94

PVM: 11.07.2011   PÄÄTÖSKURSSI: 17,97

PVM: 12.07.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 13.07.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 14.07.2011   PÄÄTÖSKURSSI: 18,17

PVM: 15.07.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 18.07.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 19.07.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 20.07.2011   PÄÄTÖSKURSSI: 18,17

PVM: 21.07.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 22.07.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 25.07.2011   PÄÄTÖSKURSSI: 18,00

PVM: 26.07.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 27.07.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 28.07.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 29.07.2011   PÄÄTÖSKURSSI: 17,80

PVM: 01.08.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 02.08.2011   PÄÄTÖSKURSSI: 17,74

PVM: 03.08.2011   PÄÄTÖSKURSSI: 16,56

PVM: 04.08.2011   PÄÄTÖSKURSSI: 16,66

PVM: 05.08.2011   PÄÄTÖSKURSSI: 17,25

PVM: 08.08.2011   PÄÄTÖSKURSSI: 16,90

PVM: 09.08.2011   PÄÄTÖSKURSSI: 16,00

PVM: 10.08.2011   PÄÄTÖSKURSSI: 16,95

PVM: 11.08.2011   PÄÄTÖSKURSSI: 16,10

PVM: 12.08.2011   PÄÄTÖSKURSSI: 16,95

PVM: 15.08.2011   PÄÄTÖSKURSSI: 16,55

PVM: 16.08.2011   PÄÄTÖSKURSSI: 16,55

PVM: 17.08.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 18.08.2011   PÄÄTÖSKURSSI: 17,00

PVM: 19.08.2011   PÄÄTÖSKURSSI: 16,80

PVM: 22.08.2011   PÄÄTÖSKURSSI: 16,83

PVM: 23.08.2011   PÄÄTÖSKURSSI: 16,95

PVM: 24.08.2011   PÄÄTÖSKURSSI: 16,95

PVM: 25.08.2011   PÄÄTÖSKURSSI: 16,80

PVM: 26.08.2011   PÄÄTÖSKURSSI: 16,75

PVM: 29.08.2011   PÄÄTÖSKURSSI: 16,70

PVM: 30.08.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 31.08.2011   PÄÄTÖSKURSSI: 15,80

PVM: 01.09.2011   PÄÄTÖSKURSSI: 16,25

PVM: 02.09.2011   PÄÄTÖSKURSSI: 16,49

PVM: 05.09.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 06.09.2011   PÄÄTÖSKURSSI: 16,30

PVM: 07.09.2011   PÄÄTÖSKURSSI: 16,60

PVM: 08.09.2011   PÄÄTÖSKURSSI: 16,25

PVM: 09.09.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 12.09.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 13.09.2011   PÄÄTÖSKURSSI: 16,20

PVM: 14.09.2011   PÄÄTÖSKURSSI: 16,20

PVM: 15.09.2011   PÄÄTÖSKURSSI: 16,25

PVM: 16.09.2011   PÄÄTÖSKURSSI: 16,45

PVM: 19.09.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 20.09.2011   PÄÄTÖSKURSSI: 16,30

PVM: 21.09.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 22.09.2011   PÄÄTÖSKURSSI: 16,32

PVM: 23.09.2011   PÄÄTÖSKURSSI: 16,50

PVM: 26.09.2011   PÄÄTÖSKURSSI: 15,80

PVM: 27.09.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 28.09.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 29.09.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 30.09.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 03.10.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 04.10.2011   PÄÄTÖSKURSSI: 16,00

PVM: 05.10.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 06.10.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 07.10.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 10.10.2011   PÄÄTÖSKURSSI: 16,00

PVM: 11.10.2011   PÄÄTÖSKURSSI: 15,70

PVM: 12.10.2011   PÄÄTÖSKURSSI: 15,50

PVM: 13.10.2011   PÄÄTÖSKURSSI: 15,70

PVM: 14.10.2011   PÄÄTÖSKURSSI: 15,85

PVM: 17.10.2011   PÄÄTÖSKURSSI: 15,60

PVM: 18.10.2011   PÄÄTÖSKURSSI: 15,60

PVM: 19.10.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 20.10.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 21.10.2011   PÄÄTÖSKURSSI: 15,60

PVM: 24.10.2011   PÄÄTÖSKURSSI: 16,00

PVM: 25.10.2011   PÄÄTÖSKURSSI: 15,80

PVM: 26.10.2011   PÄÄTÖSKURSSI: 15,80

PVM: 27.10.2011   PÄÄTÖSKURSSI: 16,09

PVM: 28.10.2011   PÄÄTÖSKURSSI: 17,55

PVM: 31.10.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 01.11.2011   PÄÄTÖSKURSSI: 15,79

PVM: 02.11.2011   PÄÄTÖSKURSSI: 16,10

PVM: 03.11.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 04.11.2011   PÄÄTÖSKURSSI: 15,71

PVM: 07.11.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 08.11.2011   PÄÄTÖSKURSSI: 15,45

PVM: 09.11.2011   PÄÄTÖSKURSSI: 15,51

PVM: 10.11.2011   PÄÄTÖSKURSSI: 15,66

PVM: 11.11.2011   PÄÄTÖSKURSSI: 15,84

PVM: 14.11.2011   PÄÄTÖSKURSSI: No data avialable

