PVM: 23.03.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 24.03.2011   PÄÄTÖSKURSSI: 10,35

PVM: 25.03.2011   PÄÄTÖSKURSSI: 10,80

PVM: 28.03.2011   PÄÄTÖSKURSSI: 10,40

PVM: 29.03.2011   PÄÄTÖSKURSSI: 10,33

PVM: 30.03.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 31.03.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 01.04.2011   PÄÄTÖSKURSSI: 10,40

PVM: 04.04.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 05.04.2011   PÄÄTÖSKURSSI: 10,80

PVM: 06.04.2011   PÄÄTÖSKURSSI: 10,99

PVM: 07.04.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 08.04.2011   PÄÄTÖSKURSSI: 10,99

PVM: 11.04.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 12.04.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 13.04.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 14.04.2011   PÄÄTÖSKURSSI: 10,99

PVM: 15.04.2011   PÄÄTÖSKURSSI: 10,61

PVM: 18.04.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 19.04.2011   PÄÄTÖSKURSSI: 10,61

PVM: 20.04.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 21.04.2011   PÄÄTÖSKURSSI: 10,21

PVM: 26.04.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 27.04.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 28.04.2011   PÄÄTÖSKURSSI: 10,32

PVM: 29.04.2011   PÄÄTÖSKURSSI: 10,50

PVM: 02.05.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 03.05.2011   PÄÄTÖSKURSSI: 10,49

PVM: 04.05.2011   PÄÄTÖSKURSSI: 10,35

PVM: 05.05.2011   PÄÄTÖSKURSSI: 10,70

PVM: 06.05.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 09.05.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 10.05.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 11.05.2011   PÄÄTÖSKURSSI: 10,70

PVM: 12.05.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 13.05.2011   PÄÄTÖSKURSSI: 10,41

PVM: 16.05.2011   PÄÄTÖSKURSSI: 10,40

PVM: 17.05.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 18.05.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 19.05.2011   PÄÄTÖSKURSSI: 10,40

PVM: 20.05.2011   PÄÄTÖSKURSSI: 9,65

PVM: 23.05.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 24.05.2011   PÄÄTÖSKURSSI: 9,72

PVM: 25.05.2011   PÄÄTÖSKURSSI: 10,00

PVM: 26.05.2011   PÄÄTÖSKURSSI: 10,29

PVM: 27.05.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 30.05.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 31.05.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 01.06.2011   PÄÄTÖSKURSSI: 9,77

PVM: 03.06.2011   PÄÄTÖSKURSSI: 10,00

PVM: 06.06.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 07.06.2011   PÄÄTÖSKURSSI: 10,00

PVM: 08.06.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 09.06.2011   PÄÄTÖSKURSSI: 9,95

PVM: 10.06.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 13.06.2011   PÄÄTÖSKURSSI: 9,93

PVM: 14.06.2011   PÄÄTÖSKURSSI: 9,93

PVM: 15.06.2011   PÄÄTÖSKURSSI: 9,95

PVM: 16.06.2011   PÄÄTÖSKURSSI: 9,93

PVM: 17.06.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 20.06.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 21.06.2011   PÄÄTÖSKURSSI: 9,75

PVM: 22.06.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 23.06.2011   PÄÄTÖSKURSSI: 9,75

PVM: 27.06.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 28.06.2011   PÄÄTÖSKURSSI: 9,72

PVM: 29.06.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 30.06.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 01.07.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 04.07.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 05.07.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 06.07.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 07.07.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 08.07.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 11.07.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 12.07.2011   PÄÄTÖSKURSSI: 9,59

PVM: 13.07.2011   PÄÄTÖSKURSSI: 9,59

PVM: 14.07.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 15.07.2011   PÄÄTÖSKURSSI: 11,00

PVM: 18.07.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 19.07.2011   PÄÄTÖSKURSSI: 10,98

PVM: 20.07.2011   PÄÄTÖSKURSSI: 9,61

PVM: 21.07.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 22.07.2011   PÄÄTÖSKURSSI: 9,67

PVM: 25.07.2011   PÄÄTÖSKURSSI: 9,67

PVM: 26.07.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 27.07.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 28.07.2011   PÄÄTÖSKURSSI: 10,79

PVM: 29.07.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 01.08.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 02.08.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 03.08.2011   PÄÄTÖSKURSSI: 9,72

PVM: 04.08.2011   PÄÄTÖSKURSSI: 9,71

PVM: 05.08.2011   PÄÄTÖSKURSSI: 9,05

PVM: 08.08.2011   PÄÄTÖSKURSSI: 9,05

PVM: 09.08.2011   PÄÄTÖSKURSSI: 9,06

PVM: 10.08.2011   PÄÄTÖSKURSSI: 9,06

PVM: 11.08.2011   PÄÄTÖSKURSSI: 9,30

PVM: 12.08.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 15.08.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 16.08.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 17.08.2011   PÄÄTÖSKURSSI: 9,20

PVM: 18.08.2011   PÄÄTÖSKURSSI: 9,21

PVM: 19.08.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 22.08.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 23.08.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 24.08.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 25.08.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 26.08.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 29.08.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 30.08.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 31.08.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 01.09.2011   PÄÄTÖSKURSSI: 9,20

PVM: 02.09.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 05.09.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 06.09.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 07.09.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 08.09.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 09.09.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 12.09.2011   PÄÄTÖSKURSSI: 9,14

PVM: 13.09.2011   PÄÄTÖSKURSSI: 9,12

PVM: 14.09.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 15.09.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 16.09.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 19.09.2011   PÄÄTÖSKURSSI: 9,12

PVM: 20.09.2011   PÄÄTÖSKURSSI: 8,90

PVM: 21.09.2011   PÄÄTÖSKURSSI: 9,01

PVM: 22.09.2011   PÄÄTÖSKURSSI: 9,35

PVM: 23.09.2011   PÄÄTÖSKURSSI: 9,06

PVM: 26.09.2011   PÄÄTÖSKURSSI: 9,90

PVM: 27.09.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 28.09.2011   PÄÄTÖSKURSSI: 9,90

PVM: 29.09.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 30.09.2011   PÄÄTÖSKURSSI: 9,13

PVM: 03.10.2011   PÄÄTÖSKURSSI: 9,15

PVM: 04.10.2011   PÄÄTÖSKURSSI: 9,01

PVM: 05.10.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 06.10.2011   PÄÄTÖSKURSSI: 10,49

PVM: 07.10.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 10.10.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 11.10.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 12.10.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 13.10.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 14.10.2011   PÄÄTÖSKURSSI: 9,40

PVM: 17.10.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 18.10.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 19.10.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 20.10.2011   PÄÄTÖSKURSSI: 9,41

PVM: 21.10.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 24.10.2011   PÄÄTÖSKURSSI: 9,23

PVM: 25.10.2011   PÄÄTÖSKURSSI: 9,23

PVM: 26.10.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 27.10.2011   PÄÄTÖSKURSSI: 9,99

PVM: 28.10.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 31.10.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 01.11.2011   PÄÄTÖSKURSSI: 10,00

PVM: 02.11.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 03.11.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 04.11.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 07.11.2011   PÄÄTÖSKURSSI: No data avialable

PVM: 08.11.2011   PÄÄTÖSKURSSI: 9,56

PVM: 09.11.2011   PÄÄTÖSKURSSI: 9,50

PVM: 10.11.2011   PÄÄTÖSKURSSI: 9,55

PVM: 11.11.2011   PÄÄTÖSKURSSI: No data avialable
