PVM: 21.04.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 22.04.2016   PÄÄTÖSKURSSI: 4,00

PVM: 25.04.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 26.04.2016   PÄÄTÖSKURSSI: 4,00

PVM: 27.04.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 28.04.2016   PÄÄTÖSKURSSI: 4,00

PVM: 29.04.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 02.05.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 03.05.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 04.05.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 06.05.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 09.05.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 10.05.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 11.05.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 12.05.2016   PÄÄTÖSKURSSI: 3,86

PVM: 13.05.2016   PÄÄTÖSKURSSI: 3,82

PVM: 16.05.2016   PÄÄTÖSKURSSI: 3,81

PVM: 17.05.2016   PÄÄTÖSKURSSI: 3,80

PVM: 18.05.2016   PÄÄTÖSKURSSI: 3,87

PVM: 19.05.2016   PÄÄTÖSKURSSI: 3,87

PVM: 20.05.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 23.05.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 24.05.2016   PÄÄTÖSKURSSI: 3,87

PVM: 25.05.2016   PÄÄTÖSKURSSI: 3,98

PVM: 26.05.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 27.05.2016   PÄÄTÖSKURSSI: 3,99

PVM: 30.05.2016   PÄÄTÖSKURSSI: 3,87

PVM: 31.05.2016   PÄÄTÖSKURSSI: 3,87

PVM: 01.06.2016   PÄÄTÖSKURSSI: 3,87

PVM: 02.06.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 03.06.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 06.06.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 07.06.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 08.06.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 09.06.2016   PÄÄTÖSKURSSI: 3,99

PVM: 10.06.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 13.06.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 14.06.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 15.06.2016   PÄÄTÖSKURSSI: 3,85

PVM: 16.06.2016   PÄÄTÖSKURSSI: 3,80

PVM: 17.06.2016   PÄÄTÖSKURSSI: 3,90

PVM: 20.06.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 21.06.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 22.06.2016   PÄÄTÖSKURSSI: No data avialable

PVM: 23.06.2016   PÄÄTÖSKURSSI: 4,00

PVM: 27.06.2016   PÄÄTÖSKURSSI: 3,98

PVM: 28.06.2016   PÄÄTÖSKURSSI: 4,00

PVM: 29.06.2016   PÄÄTÖSKURSSI: 3,87

